Id,Designator,Package,Quantity,Designation
1,M1,ESP-32S,1,ESP-WROOM-32
2,P2,1X06,1,CONN_01X06
3,C1,C_1206,1,100uF
4,C2,C_0603,1,100nF
5,"C3,C4",C_0603,2,15pF
6,C5,C_0603,1,1uF
7,C6,C_0603,1,2.2uF
8,D3,LED-0603,1,LED
9,"Q3,Q4",SOT-23,2,S8050
10,R1,R_0603,1,10K
11,R5,R_0603,1,1K
12,R7,R_0603,1,150E
13,"R8,R9",R_0603,2,100E
14,"R11,R12",R_0603,2,12K
15,U1,SOT-23-5,1,AP2112K
16,U3,Logo_8,1,EE_Logo
17,U7,sfh5712,1,RGB_4pin
18,Y1,SMD_RTC_Crstl,1,32.768KHz RTC Crystal
20,"P1,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16",Specialpad,15,CONN_01X01
